id,event_id,latitude,longitude,type,area,date_time,elevation,slope,state,county,country,fips,scc,fuel_1hr,fuel_10hr,fuel_100hr,fuel_1khr,fuel_10khr,fuel_gt10khr,shrub,grass,rot,duff,litter,moisture_1hr,moisture_10hr,moisture_100hr,moisture_1khr,moisture_live,moisture_duff,consumption_flaming,consumption_smoldering,consumption_residual,consumption_duff,min_wind,max_wind,min_wind_aloft,max_wind_aloft,min_humid,max_humid,min_temp,max_temp,min_temp_hour,max_temp_hour,sunrise_hour,sunset_hour,snow_month,rain_days,heat,pm25,pm10,co,co2,ch4,nox,nh3,so2,voc,canopy,dum1,event_name,event_url,fccs_number,owner,provincename,server,sf_event_guid,sf_server,sf_stream_name,stream_name,timezone,veg
SF11C1434635041309440,SF11E137801,59.924,-119.922,WF,6542.16932516,201807100000-07:00,0.0,10.0,AB,,Canada,CA01,2810001000,,,,,,,,,,,,7.0,8.0,9.0,12.0,80.0,40.0,7.74183684161,1.24249603956,0.0,8.54929595398,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,4,22,5,8,440043948146.61346,503.9156090000001,594.6204289999998,5344.541203000001,94878.49643500001,273.6901259999999,129.949927,88.82538799999999,57.601484,1276.8648909999997,,654c5736-d1f6-4dee-a6b0-b58a240a8838,Unknown Fire,http://tomcat-sf/smartfire/events/654c5736-d1f6-4dee-a6b0-b58a240a8838,,,ALBERTA,tomcat-sf,,,,CWFIS-Hotspots,-7.0,
SF11C1434635041309440,SF11E137801,59.924,-119.922,WF,6542.16932516,201807110000-07:00,0.0,10.0,AB,,Canada,CA01,2810001000,,,,,,,,,,,,7.0,8.0,9.0,12.0,80.0,40.0,7.74183684161,1.24249603956,0.0,8.54929595398,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,4,22,5,8,440043948146.61346,503.9156090000001,594.6204289999998,5344.541203000001,94878.49643500001,273.6901259999999,129.949927,88.82538799999999,57.601484,1276.8648909999997,,654c5736-d1f6-4dee-a6b0-b58a240a8838,Unknown Fire,http://tomcat-sf/smartfire/events/654c5736-d1f6-4dee-a6b0-b58a240a8838,,,ALBERTA,tomcat-sf,,,,CWFIS-Hotspots,-7.0,
SF11C1434635041309440,SF11E137801,59.924,-119.922,WF,6542.16932516,201807120000-07:00,0.0,10.0,AB,,Canada,CA01,2810001000,,,,,,,,,,,,7.0,8.0,9.0,12.0,80.0,40.0,7.74183684161,1.24249603956,0.0,8.54929595398,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,4,22,5,8,440043948146.61346,503.9156090000001,594.6204289999998,5344.541203000001,94878.49643500001,273.6901259999999,129.949927,88.82538799999999,57.601484,1276.8648909999997,,654c5736-d1f6-4dee-a6b0-b58a240a8838,Unknown Fire,http://tomcat-sf/smartfire/events/654c5736-d1f6-4dee-a6b0-b58a240a8838,,,ALBERTA,tomcat-sf,,,,CWFIS-Hotspots,-7.0,
SF11C1434635041309440,SF11E137801,59.924,-119.922,WF,6542.16932516,201807130000-07:00,0.0,10.0,AB,,Canada,CA01,2810001000,,,,,,,,,,,,7.0,8.0,9.0,12.0,80.0,40.0,7.74183684161,1.24249603956,0.0,8.54929595398,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,4,22,5,8,440043948146.61346,503.9156090000001,594.6204289999998,5344.541203000001,94878.49643500001,273.6901259999999,129.949927,88.82538799999999,57.601484,1276.8648909999997,,654c5736-d1f6-4dee-a6b0-b58a240a8838,Unknown Fire,http://tomcat-sf/smartfire/events/654c5736-d1f6-4dee-a6b0-b58a240a8838,,,ALBERTA,tomcat-sf,,,,CWFIS-Hotspots,-7.0,
SF11C1434635041309440,SF11E137801,59.924,-119.922,WF,6542.16932516,201807140000-07:00,0.0,10.0,AB,,Canada,CA01,2810001000,,,,,,,,,,,,7.0,8.0,9.0,12.0,80.0,40.0,7.74183684161,1.24249603956,0.0,8.54929595398,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,4,22,5,8,440043948146.61346,503.9156090000001,594.6204289999998,5344.541203000001,94878.49643500001,273.6901259999999,129.949927,88.82538799999999,57.601484,1276.8648909999997,,654c5736-d1f6-4dee-a6b0-b58a240a8838,Unknown Fire,http://tomcat-sf/smartfire/events/654c5736-d1f6-4dee-a6b0-b58a240a8838,,,ALBERTA,tomcat-sf,,,,CWFIS-Hotspots,-7.0,
SF11C1434635041309440,SF11E137801,59.924,-119.922,WF,6542.16932516,201807150000-07:00,0.0,10.0,AB,,Canada,CA01,2810001000,,,,,,,,,,,,7.0,8.0,9.0,12.0,80.0,40.0,7.74183684161,1.24249603956,0.0,8.54929595398,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,4,22,5,8,440043948146.61346,503.9156090000001,594.6204289999998,5344.541203000001,94878.49643500001,273.6901259999999,129.949927,88.82538799999999,57.601484,1276.8648909999997,,654c5736-d1f6-4dee-a6b0-b58a240a8838,Unknown Fire,http://tomcat-sf/smartfire/events/654c5736-d1f6-4dee-a6b0-b58a240a8838,,,ALBERTA,tomcat-sf,,,,CWFIS-Hotspots,-7.0,
SF11C1434635041309440,SF11E137801,59.924,-119.922,WF,6542.16932516,201807160000-07:00,0.0,10.0,AB,,Canada,CA01,2810001000,,,,,,,,,,,,7.0,8.0,9.0,12.0,80.0,40.0,7.74183684161,1.24249603956,0.0,8.54929595398,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,4,22,5,8,440043948146.61346,503.9156090000001,594.6204289999998,5344.541203000001,94878.49643500001,273.6901259999999,129.949927,88.82538799999999,57.601484,1276.8648909999997,,654c5736-d1f6-4dee-a6b0-b58a240a8838,Unknown Fire,http://tomcat-sf/smartfire/events/654c5736-d1f6-4dee-a6b0-b58a240a8838,,,ALBERTA,tomcat-sf,,,,CWFIS-Hotspots,-7.0,
SF11C1434635041309440,SF11E137801,59.924,-119.922,WF,6542.16932516,201807170000-07:00,0.0,10.0,AB,,Canada,CA01,2810001000,,,,,,,,,,,,7.0,8.0,9.0,12.0,80.0,40.0,7.74183684161,1.24249603956,0.0,8.54929595398,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,4,22,5,8,440043948146.61346,503.9156090000001,594.6204289999998,5344.541203000001,94878.49643500001,273.6901259999999,129.949927,88.82538799999999,57.601484,1276.8648909999997,,654c5736-d1f6-4dee-a6b0-b58a240a8838,Unknown Fire,http://tomcat-sf/smartfire/events/654c5736-d1f6-4dee-a6b0-b58a240a8838,,,ALBERTA,tomcat-sf,,,,CWFIS-Hotspots,-7.0,
SF11C1434635041309440,SF11E137801,59.924,-119.922,WF,6542.16932516,201807180000-07:00,0.0,10.0,AB,,Canada,CA01,2810001000,,,,,,,,,,,,7.0,8.0,9.0,12.0,80.0,40.0,7.74183684161,1.24249603956,0.0,8.54929595398,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,4,22,5,8,440043948146.61346,503.9156090000001,594.6204289999998,5344.541203000001,94878.49643500001,273.6901259999999,129.949927,88.82538799999999,57.601484,1276.8648909999997,,654c5736-d1f6-4dee-a6b0-b58a240a8838,Unknown Fire,http://tomcat-sf/smartfire/events/654c5736-d1f6-4dee-a6b0-b58a240a8838,,,ALBERTA,tomcat-sf,,,,CWFIS-Hotspots,-7.0,
SF11C1434635041309440,SF11E137801,59.924,-119.922,WF,6542.16932516,201807190000-07:00,0.0,10.0,AB,,Canada,CA01,2810001000,,,,,,,,,,,,7.0,8.0,9.0,12.0,80.0,40.0,7.74183684161,1.24249603956,0.0,8.54929595398,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,4,22,5,8,440043948146.61346,503.9156090000001,594.6204289999998,5344.541203000001,94878.49643500001,273.6901259999999,129.949927,88.82538799999999,57.601484,1276.8648909999997,,654c5736-d1f6-4dee-a6b0-b58a240a8838,Unknown Fire,http://tomcat-sf/smartfire/events/654c5736-d1f6-4dee-a6b0-b58a240a8838,,,ALBERTA,tomcat-sf,,,,CWFIS-Hotspots,-7.0,
SF11C1434645041309440,SF11E133538,60.331,-129.332,WF,2667.94737758,201807100000-08:00,0.0,10.0,YT,,Canada,CA12,2810001000,,,,,,,,,,,,7.0,8.0,9.0,12.0,80.0,40.0,13.2823819049,1.1741030246,0.0,12.5908580089,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,3,22,5,8,296012914123.0361,310.07796800000006,365.8920149999999,3202.544130999999,62823.664264,166.27915999999996,88.601063,53.434222999999996,37.79775399999999,768.1169340000001,,d916b2f3-117b-4fa7-9b79-20cbabfca842,Unknown Fire,http://tomcat-sf/smartfire/events/d916b2f3-117b-4fa7-9b79-20cbabfca842,,,YUKON TERRITORY,tomcat-sf,,,,CWFIS-Hotspots,-8.0,
SF11C1434645041309440,SF11E133538,60.331,-129.332,WF,2667.94737758,201807110000-08:00,0.0,10.0,YT,,Canada,CA12,2810001000,,,,,,,,,,,,7.0,8.0,9.0,12.0,80.0,40.0,13.2823819049,1.1741030246,0.0,12.5908580089,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,3,22,5,8,296012914123.0361,310.07796800000006,365.8920149999999,3202.544130999999,62823.664264,166.27915999999996,88.601063,53.434222999999996,37.79775399999999,768.1169340000001,,d916b2f3-117b-4fa7-9b79-20cbabfca842,Unknown Fire,http://tomcat-sf/smartfire/events/d916b2f3-117b-4fa7-9b79-20cbabfca842,,,YUKON TERRITORY,tomcat-sf,,,,CWFIS-Hotspots,-8.0,
